영화코드,영화명,개봉일,대표국적,장르,관람객평점,평론가평점,네티즌평점,남자평점,여자평점,관객수
167697,신과함께-인과 연,180801,한국,모험,0.875,0.631,0.809,0.617,0.839,12274996
136315,어벤져스: 인피니티 워,180425,미국,액션,0.921,0.709,0.939,0.879,0.923,11212710
156464,보헤미안 랩소디,181031,미국,드라마,0.958,0.614,0.988,0.925,0.975,9224582
154222,미션 임파서블: 폴아웃,180725,미국,액션,0.928,0.756,0.957,0.898,0.948,6584915
85579,신과함께-죄와 벌,171220,한국,모험,0.885,0.592,0.822,0.64,0.8,5872007
154285,쥬라기 월드: 폴른 킹덤,180606,미국,액션,0.866,0.64,0.841,0.699,0.856,5661128
144330,앤트맨과 와스프,180704,미국,액션,0.898,0.613,0.905,0.808,0.903,5448134
163533,안시성,180919,한국,액션,0.875,0.622,0.838,0.672,0.902,5440186
137326,블랙 팬서,180214,미국,액션,0.845,0.667,0.786,0.656,0.797,5399227
167638,완벽한 타인,181031,한국,드라마,0.921,0.613,0.905,0.84,0.832,5293435
158191,1987,171227,한국,드라마,0.944,0.808,0.967,0.89,0.974,5290310
158178,독전,180522,한국,액션,0.853,0.529,0.79,0.634,0.827,5063684
153687,공작,180808,한국,드라마,0.797,0.693,0.718,0.616,0.704,4974520
119428,베놈,181003,미국,액션,0.836,0.46,0.829,0.738,0.849,3888096
167105,암수살인,181003,한국,액션,0.87,0.814,0.873,0.795,0.844,3789321
149236,데드풀 2,180516,미국,액션,0.922,0.586,0.912,0.812,0.866,3784602
164192,국가부도의 날,181128,한국,드라마,0.882,0.65,0.854,0.742,0.903,3747952
151728,코코,180111,미국,모험,0.933,0.8,0.972,0.919,0.963,3510017
151153,아쿠아맨,181219,미국,액션,0.889,0.683,0.876,0.813,0.848,3491857
158180,그것만이 내 세상,180117,한국,드라마,0.93,0.52,0.935,0.866,0.907,3419339
175322,마녀,180627,한국,공포,0.869,0.563,0.858,0.805,0.829,3189091
159892,탐정: 리턴즈,180613,한국,드라마,0.912,0.6,0.881,0.734,0.89,3152872
136990,인크레더블 2,180718,미국,모험,0.945,0.733,0.969,0.869,0.957,3033052
172425,서치,180829,미국,드라마,0.909,0.76,0.936,0.88,0.918,2949944
140652,너의 결혼식,180822,한국,멜로/로맨스,0.913,0.657,0.881,0.806,0.833,2820969
172454,곤지암,180328,한국,공포,0.762,0.633,0.673,0.588,0.691,2675575
168298,지금 만나러 갑니다,180314,한국,멜로/로맨스,0.911,0.55,0.915,0.835,0.916,2602273
169015,목격자,180815,한국,공포,0.767,0.525,0.507,0.351,0.551,2524720
165748,조선명탐정: 흡혈괴마의 비밀,180208,한국,모험,0.763,0.517,0.696,0.604,0.696,2444136
154255,신비한 동물들과 그린델왈드의 범죄,181114,미국,모험,0.757,0.533,0.646,0.51,0.643,2414062
149248,메이즈 러너: 데스 큐어,180117,미국,액션,0.827,0.5,0.823,0.684,0.892,2299732
164115,맘마미아!2,180808,미국,드라마,0.921,0.62,0.94,0.842,0.93,2293884
136898,레디 플레이어 원,180328,미국,액션,0.884,0.836,0.895,0.841,0.872,2254430
162981,명당,180919,한국,드라마,0.786,0.58,0.74,0.595,0.777,2087474
164106,협상,180919,한국,액션,0.828,0.543,0.77,0.643,0.813,1967721
157297,마약왕,181219,한국,액션,0.728,0.514,0.663,0.571,0.702,1813594
152656,쥬만지: 새로운 세계,180103,미국,액션,0.856,0.533,0.829,0.713,0.839,1708672
160487,창궐,181025,한국,액션,0.655,0.52,0.53,0.426,0.592,1599290
174835,성난황소,181122,한국,액션,0.877,0.467,0.786,0.652,0.83,1593386
171755,도어락,181205,한국,공포,0.781,0.611,0.624,0.474,0.694,1559616
154449,리틀 포레스트,180228,한국,드라마,0.914,0.636,0.92,0.827,0.924,1506269
158112,골든슬럼버,180214,한국,액션,0.636,0.5,0.544,0.426,0.616,1387508
162249,램페이지,180412,미국,액션,0.895,0.48,0.87,0.756,0.904,1385511
141206,궁합,180228,한국,드라마,0.76,0.4,0.675,0.524,0.701,1340117
153675,오션스8,180613,미국,액션,0.85,0.58,0.801,0.475,0.882,1335829
165026,사라진 밤,180307,한국,공포,0.805,0.467,0.733,0.635,0.72,1315726
164101,스윙키즈,181219,한국,드라마,0.906,0.638,0.877,0.616,0.925,1258811
142739,바람 바람 바람,180405,한국,드라마,0.674,0.46,0.645,0.601,0.593,1194229
166092,PMC: 더 벙커,181226,한국,액션,0.662,0.69,0.546,0.453,0.61,1179031
164139,범블비,181225,미국,액션,0.887,0.678,0.847,0.733,0.893,1167150
169347,챔피언,180501,한국,드라마,0.757,0.543,0.659,0.568,0.711,1128774
125494,퍼시픽 림: 업라이징,180321,미국,액션,0.807,0.56,0.701,0.598,0.796,1077235
169643,몬스터 호텔 3,180808,미국,모험,0.881,0.5,0.901,0.752,0.822,1072220
168049,더 넌,180919,미국,공포,0.747,0.45,0.7,0.611,0.697,1011580
160375,스카이스크래퍼,180711,미국,액션,0.878,0.425,0.8,0.675,0.855,1002858
153651,염력,180131,한국,드라마,0.63,0.6,0.523,0.459,0.56,990104
118955,월요일이 사라졌다,180222,영국,액션,0.862,0.525,0.873,0.798,0.892,903175
109906,인랑,180725,한국,액션,0.533,0.573,0.404,0.328,0.46,898945
175727,극장판 헬로카봇 : 백악기 시대,180801,한국,모험,0.944,0.6,0.969,0.812,0.949,879449
159877,레슬러,180509,한국,드라마,0.653,0.433,0.514,0.447,0.466,771141
172010,상류사회,180829,한국,드라마,0.575,0.44,0.445,0.405,0.35,768442
132996,물괴,180912,한국,액션,0.653,0.45,0.504,0.416,0.568,723622
155356,미쓰백,181011,한국,드라마,0.938,0.611,0.955,0.828,0.973,722182
174805,신비아파트: 금빛 도깨비와 비밀의 동굴,180725,한국,모험,0.894,0.6,0.915,0.713,0.911,678091
168058,퍼스트맨,181018,미국,액션,0.797,0.744,0.73,0.678,0.691,665364
