,영화코드,영화명,개봉일,대표국적,장르,관람객평점,평론가평점,네티즌평점,남자평점,여자평점,관객수
1,136315,어벤져스: 인피니티 워,180425,미국,액션,0.9209999999999999,0.7090000000000001,0.9390000000000001,0.879,0.9229999999999999,11212710
3,154222,미션 임파서블: 폴아웃,180725,미국,액션,0.9279999999999999,0.7559999999999999,0.9570000000000001,0.898,0.948,6584915
5,154285,쥬라기 월드: 폴른 킹덤,180606,미국,액션,0.866,0.64,0.841,0.6990000000000001,0.856,5661128
6,144330,앤트맨과 와스프,180704,미국,액션,0.898,0.613,0.905,0.8079999999999999,0.903,5448134
7,163533,안시성,180919,한국,액션,0.875,0.622,0.838,0.672,0.902,5440186
8,137326,블랙 팬서,180214,미국,액션,0.845,0.667,0.7859999999999999,0.6559999999999999,0.797,5399227
11,158178,독전,180522,한국,액션,0.853,0.529,0.79,0.634,0.8270000000000001,5063684
13,119428,베놈,181003,미국,액션,0.836,0.46,0.8290000000000001,0.738,0.8490000000000001,3888096
14,167105,암수살인,181003,한국,액션,0.87,0.8140000000000001,0.873,0.795,0.8440000000000001,3789321
15,149236,데드풀 2,180516,미국,액션,0.922,0.586,0.912,0.812,0.866,3784602
18,151153,아쿠아맨,181219,미국,액션,0.889,0.6829999999999999,0.8759999999999999,0.813,0.848,3491857
30,149248,메이즈 러너: 데스 큐어,180117,미국,액션,0.8270000000000001,0.5,0.823,0.684,0.892,2299732
32,136898,레디 플레이어 원,180328,미국,액션,0.884,0.836,0.895,0.841,0.872,2254430
34,164106,협상,180919,한국,액션,0.828,0.5429999999999999,0.77,0.643,0.813,1967721
35,157297,마약왕,181219,한국,액션,0.728,0.514,0.6629999999999999,0.5710000000000001,0.7020000000000001,1813594
36,152656,쥬만지: 새로운 세계,180103,미국,액션,0.856,0.5329999999999999,0.8290000000000001,0.713,0.8390000000000001,1708672
37,160487,창궐,181025,한국,액션,0.655,0.52,0.53,0.426,0.5920000000000001,1599290
38,174835,성난황소,181122,한국,액션,0.877,0.467,0.7859999999999999,0.652,0.83,1593386
41,158112,골든슬럼버,180214,한국,액션,0.636,0.5,0.544,0.426,0.616,1387508
42,162249,램페이지,180412,미국,액션,0.895,0.48,0.87,0.7559999999999999,0.904,1385511
44,153675,오션스8,180613,미국,액션,0.85,0.58,0.8009999999999999,0.475,0.882,1335829
48,166092,PMC: 더 벙커,181226,한국,액션,0.662,0.69,0.546,0.45299999999999996,0.61,1179031
49,164139,범블비,181225,미국,액션,0.887,0.6779999999999999,0.847,0.733,0.893,1167150
51,125494,퍼시픽 림: 업라이징,180321,미국,액션,0.807,0.56,0.701,0.598,0.7959999999999999,1077235
54,160375,스카이스크래퍼,180711,미국,액션,0.878,0.425,0.8,0.675,0.855,1002858
56,118955,월요일이 사라졌다,180222,영국,액션,0.862,0.525,0.873,0.7979999999999999,0.892,903175
57,109906,인랑,180725,한국,액션,0.5329999999999999,0.573,0.40399999999999997,0.32799999999999996,0.46,898945
61,132996,물괴,180912,한국,액션,0.653,0.45,0.504,0.41600000000000004,0.568,723622
64,168058,퍼스트맨,181018,미국,액션,0.797,0.7440000000000001,0.73,0.6779999999999999,0.691,665364
69,158601,툼레이더,180308,미국,액션,0.769,0.5,0.6779999999999999,0.5760000000000001,0.7559999999999999,540410
73,152661,메가로돈,180815,미국,액션,0.764,0.44,0.614,0.5379999999999999,0.61,527962
81,166610,동네사람들,181107,한국,액션,0.722,0.4,0.5539999999999999,0.461,0.574,461693
83,155665,강철비,171214,한국,액션,0.885,0.718,0.875,0.7829999999999999,0.8859999999999999,438447
94,152249,커뮤터,180124,영국,액션,0.89,0.557,0.85,0.769,0.905,286062
98,156496,모털 엔진,181205,미국,액션,0.73,0.55,0.643,0.58,0.7,267896
100,167602,나를 차버린 스파이,180822,미국,액션,0.8320000000000001,0.58,0.8320000000000001,0.58,0.929,264766
103,152680,시카리오: 데이 오브 솔다도,180627,미국,액션,0.9,0.643,0.884,0.84,0.883,229542
105,168037,12 솔져스,180131,미국,액션,0.968,0.5,0.85,0.773,0.922,223740
110,158631,허리케인 하이스트,180314,미국,액션,0.8590000000000001,0.35,0.775,0.6709999999999999,0.8290000000000001,214949
111,144693,한 솔로: 스타워즈 스토리,180524,미국,액션,0.85,0.7290000000000001,0.8240000000000001,0.764,0.852,213980
114,174626,업그레이드,180906,미국,액션,0.0,0.667,0.948,0.8959999999999999,0.946,190387
120,127335,더 프레데터,180912,미국,액션,0.7440000000000001,0.4,0.608,0.527,0.716,170878
129,158178,독전: 익스텐디드 컷,180718,한국,액션,0.853,0.529,0.79,0.634,0.8270000000000001,137871
131,171452,부탁 하나만 들어줘,181212,미국,액션,0.8240000000000001,0.6829999999999999,0.818,0.742,0.8190000000000001,115024
137,172005,게이트,180228,한국,액션,0.9009999999999999,0.3,0.37799999999999995,0.32899999999999996,0.414,101381
150,168030,호텔 아르테미스,180718,미국,액션,0.7240000000000001,0.5,0.682,0.594,0.732,77794
151,163842,올 더 머니,180201,미국,액션,0.8640000000000001,0.7,0.836,0.757,0.866,70310
152,171499,마일22,180823,미국,액션,0.7879999999999999,0.4,0.778,0.72,0.8190000000000001,69837
162,92125,헌터 킬러,181206,미국,액션,0.9129999999999999,0.5,0.9840000000000001,0.934,0.98,56511
164,151241,머니백,180412,한국,액션,0.735,0.5,0.615,0.539,0.695,53610
168,47370,그래비티,131017,미국,액션,0.925,0.867,0.8690000000000001,0.8290000000000001,0.8320000000000001,52504
173,142384,공조,170118,한국,액션,0.8959999999999999,0.5,0.867,0.638,0.8759999999999999,7817618
174,135874,스파이더맨: 홈 커밍,170705,미국,액션,0.8959999999999999,0.7,0.877,0.7509999999999999,0.862,7258678
175,161242,범죄도시,171003,한국,액션,0.941,0.6,0.9590000000000001,0.89,0.937,6879841
176,146506,군함도,170726,한국,액션,0.7440000000000001,0.617,0.5539999999999999,0.439,0.545,6592151
177,153652,청년경찰,170809,한국,액션,0.9159999999999999,0.51,0.8690000000000001,0.723,0.84,5653270
180,149747,킹스맨: 골든 서클,170927,미국,액션,0.873,0.5,0.878,0.782,0.883,4945484
181,134898,토르: 라그나로크,171025,미국,액션,0.915,0.613,0.927,0.821,0.9390000000000001,4853778
182,152385,꾼,171122,한국,액션,0.8440000000000001,0.44,0.799,0.68,0.805,4018035
185,140731,분노의 질주: 더 익스트림,170412,미국,액션,0.9309999999999999,0.6,0.94,0.846,0.935,3653238
189,82473,캐리비안의 해적: 죽은 자는 말이 없다,170524,미국,액션,0.87,0.52,0.8690000000000001,0.769,0.884,3049894
190,146517,프리즌,170323,한국,액션,0.8370000000000001,0.6,0.794,0.6729999999999999,0.757,2931897
191,146480,덩케르크,170720,미국,액션,0.8740000000000001,0.855,0.87,0.79,0.895,2788732
192,127398,가디언즈 오브 갤럭시 VOL. 2,170503,미국,액션,0.9179999999999999,0.625,0.938,0.871,0.934,2735721
193,137890,살인자의 기억법,170906,한국,액션,0.8290000000000001,0.578,0.807,0.715,0.807,2658589
194,123630,트랜스포머: 최후의 기사,170621,미국,액션,0.7,0.28300000000000003,0.659,0.525,0.785,2614601
196,127382,조작된 도시,170209,한국,액션,0.868,0.522,0.843,0.69,0.9,2515501
201,145162,마스터,161221,한국,액션,0.877,0.5770000000000001,0.85,0.645,0.823,2215266
