,영화코드,영화명,개봉일,대표국적,장르,관람객평점,평론가평점,네티즌평점,남자평점,여자평점,관객수
2,156464,보헤미안 랩소디,181031,미국,드라마,0.958,0.614,0.988,0.925,0.975,9224582
9,167638,완벽한 타인,181031,한국,드라마,0.9209999999999999,0.613,0.905,0.84,0.8320000000000001,5293435
10,158191,1987,171227,한국,드라마,0.9440000000000001,0.8079999999999999,0.9670000000000001,0.89,0.9740000000000001,5290310
12,153687,공작,180808,한국,드라마,0.797,0.693,0.718,0.616,0.7040000000000001,4974520
16,164192,국가부도의 날,181128,한국,드라마,0.882,0.65,0.8540000000000001,0.742,0.903,3747952
19,158180,그것만이 내 세상,180117,한국,드라마,0.93,0.52,0.935,0.866,0.907,3419339
21,159892,탐정: 리턴즈,180613,한국,드라마,0.912,0.6,0.8809999999999999,0.7340000000000001,0.89,3152872
23,172425,서치,180829,미국,드라마,0.909,0.76,0.9359999999999999,0.88,0.9179999999999999,2949944
31,164115,맘마미아!2,180808,미국,드라마,0.9209999999999999,0.62,0.94,0.8420000000000001,0.93,2293884
33,162981,명당,180919,한국,드라마,0.7859999999999999,0.58,0.74,0.595,0.777,2087474
40,154449,리틀 포레스트,180228,한국,드라마,0.914,0.636,0.92,0.8270000000000001,0.924,1506269
43,141206,궁합,180228,한국,드라마,0.76,0.4,0.675,0.524,0.701,1340117
46,164101,스윙키즈,181219,한국,드라마,0.9059999999999999,0.638,0.877,0.616,0.925,1258811
47,142739,바람 바람 바람,180405,한국,드라마,0.674,0.46,0.645,0.601,0.593,1194229
50,169347,챔피언,180501,한국,드라마,0.757,0.5429999999999999,0.659,0.568,0.711,1128774
55,153651,염력,180131,한국,드라마,0.63,0.6,0.523,0.45899999999999996,0.56,990104
59,159877,레슬러,180509,한국,드라마,0.653,0.433,0.514,0.447,0.466,771141
60,172010,상류사회,180829,한국,드라마,0.575,0.44,0.445,0.405,0.35,768442
62,155356,미쓰백,181011,한국,드라마,0.938,0.611,0.955,0.828,0.973,722182
66,106360,위대한 쇼맨,171220,미국,드라마,0.9420000000000001,0.66,0.9840000000000001,0.94,0.9570000000000001,588434
68,173653,"그날, 바다",180412,한국,드라마,0.996,0.64,0.94,0.818,0.986,540631
76,158626,셰이프 오브 워터: 사랑의 모양,180222,미국,드라마,0.88,0.818,0.8759999999999999,0.784,0.8759999999999999,507102
78,164151,변산,180704,한국,드라마,0.845,0.65,0.8029999999999999,0.6920000000000001,0.84,490519
80,168050,스타 이즈 본,181009,미국,드라마,0.9279999999999999,0.743,0.961,0.8959999999999999,0.9490000000000001,483852
82,152156,원더풀 고스트,180926,한국,드라마,0.81,0.483,0.695,0.564,0.774,450374
84,159805,흥부: 글로 세상을 바꾼 자,180214,한국,드라마,0.7,0.457,0.465,0.359,0.441,416303
88,146489,패딩턴 2,180208,프랑스,드라마,0.9259999999999999,0.767,0.953,0.835,0.97,339014
89,167787,허스토리,180627,한국,드라마,0.968,0.667,0.9740000000000001,0.836,0.983,336822
91,154667,덕구,180405,한국,드라마,0.943,0.55,0.987,0.8909999999999999,0.991,315663
92,176354,번 더 스테이지: 더 무비,181115,한국,드라마,0.0,0.6,0.977,0.6579999999999999,0.987,315010
99,173692,바울,181031,미국,드라마,0.9620000000000001,0.5,0.9620000000000001,0.8220000000000001,0.988,267785
102,168017,아이 필 프리티,180606,미국,드라마,0.9159999999999999,0.4,0.902,0.7090000000000001,0.903,240297
106,149504,1급기밀,180124,한국,드라마,0.899,0.586,0.9309999999999999,0.8740000000000001,0.9520000000000001,217803
107,154598,50가지 그림자: 해방,180221,미국,드라마,0.8490000000000001,0.267,0.833,0.607,0.858,217785
112,158885,콜 미 바이 유어 네임,180322,이탈리아,드라마,0.925,0.78,0.8079999999999999,0.475,0.93,198945
118,151196,원더,171227,미국,드라마,0.956,0.6859999999999999,0.993,0.912,0.9890000000000001,181938
121,172174,어느 가족,180726,일본,드라마,0.938,0.813,0.965,0.9129999999999999,0.9329999999999999,170743
125,142272,다운사이징,180111,미국,드라마,0.59,0.613,0.552,0.53,0.506,150215
127,159848,더 포스트,180228,미국,드라마,0.894,0.763,0.9159999999999999,0.85,0.935,139389
133,157243,당갈,180425,인도,드라마,0.976,0.7,0.991,0.9,0.996,109465
136,158611,레이디 버드,180404,미국,드라마,0.88,0.782,0.888,0.778,0.8909999999999999,101781
139,168405,여중생A,180620,한국,드라마,0.7490000000000001,0.6,0.6629999999999999,0.47700000000000004,0.6970000000000001,97849
140,158610,쓰리 빌보드,180315,미국,드라마,0.917,0.82,0.924,0.8590000000000001,0.924,97480
143,164719,플로리다 프로젝트,180307,미국,드라마,0.905,0.85,0.9009999999999999,0.831,0.88,94822
148,172344,신은 죽지 않았다 3: 어둠 속의 빛,180719,미국,드라마,0.9079999999999999,0.5,0.875,0.7020000000000001,0.9520000000000001,86295
149,179139,출국,181114,한국,드라마,0.945,0.4,0.919,0.846,0.941,81880
155,165561,번개맨과 신비의 섬,180405,한국,드라마,0.0,0.4,0.988,0.853,0.976,60561
158,171752,소공녀,180322,한국,드라마,0.0,0.0,0.0,0.0,0.0,59110
