,영화코드,영화명,개봉일,대표국적,장르,관람객평점,평론가평점,네티즌평점,남자평점,여자평점,관객수
20,175322,마녀,180627,한국,공포,0.8690000000000001,0.563,0.858,0.805,0.8290000000000001,3189091
25,172454,곤지암,180328,한국,공포,0.762,0.633,0.6729999999999999,0.588,0.691,2675575
27,169015,목격자,180815,한국,공포,0.767,0.525,0.507,0.35100000000000003,0.551,2524720
39,171755,도어락,181205,한국,공포,0.7809999999999999,0.611,0.624,0.474,0.6940000000000001,1559616
45,165026,사라진 밤,180307,한국,공포,0.805,0.467,0.733,0.635,0.72,1315726
53,168049,더 넌,180919,미국,공포,0.747,0.45,0.7,0.611,0.6970000000000001,1011580
67,158647,인시디어스4: 라스트 키,180131,미국,공포,0.742,0.5329999999999999,0.716,0.659,0.6990000000000001,554521
71,155263,버닝,180517,한국,공포,0.792,0.769,0.696,0.7090000000000001,0.5489999999999999,528435
72,85578,7년의 밤,180328,한국,공포,0.609,0.55,0.502,0.446,0.501,528007
74,168011,콰이어트 플레이스,180412,미국,공포,0.841,0.7,0.812,0.731,0.835,526073
93,164183,트루스 오어 데어,180522,미국,공포,0.8170000000000001,0.35,0.7509999999999999,0.648,0.772,310956
108,172003,속닥속닥,180713,한국,공포,0.91,0.35,0.532,0.478,0.5529999999999999,217444
119,172420,유전,180607,미국,공포,0.8,0.713,0.752,0.706,0.715,177647
126,158555,나를 기억해,180419,한국,공포,0.826,0.36700000000000005,0.6920000000000001,0.59,0.72,141222
134,170879,할로윈,181031,미국,공포,0.74,0.743,0.66,0.5720000000000001,0.701,108780
135,151744,레드 스패로,180228,미국,공포,0.867,0.5329999999999999,0.898,0.8420000000000001,0.905,108344
153,171750,여곡성,181108,한국,공포,0.507,0.375,0.44,0.39899999999999997,0.46799999999999997,67368
156,152694,킬링 디어,180712,미국,공포,0.841,0.7140000000000001,0.718,0.624,0.63,60008
184,181047,미이라,170606,미국,공포,0.0,0.0,0.0,0.0,0.0,3689325
195,176225,보안관,170503,한국,공포,0.0,0.0,0.0,0.0,0.0,2588628
204,156083,겟 아웃,170517,미국,공포,0.857,0.7140000000000001,0.868,0.8009999999999999,0.865,2138174
206,152341,애나벨 : 인형의 주인,170810,미국,공포,0.77,0.7,0.764,0.698,0.747,1934270
211,144927,23 아이덴티티,170222,미국,공포,0.805,0.65,0.804,0.754,0.753,1675819
214,160399,기억의 밤,171129,한국,공포,0.853,0.5670000000000001,0.855,0.778,0.855,1386611
215,181411,해피 데스데이,171108,미국,공포,0.841,0.6,0.772,0.691,0.762,1382650
219,137696,장산범,170817,한국,공포,0.753,0.58,0.642,0.503,0.667,1306438
221,137875,해빙,170301,한국,공포,0.6729999999999999,0.6,0.6809999999999999,0.633,0.6759999999999999,1204600
227,186231,그것,170906,미국,공포,0.0,0.0,0.0,0.0,0.0,888836
238,152616,47 미터,170719,영국,공포,0.743,0.4,0.762,0.6970000000000001,0.782,590045
240,149777,얼라이드,170111,미국,공포,0.87,0.65,0.9309999999999999,0.907,0.924,518886
250,155411,반드시 잡는다,171129,한국,공포,0.823,0.65,0.784,0.7020000000000001,0.8290000000000001,446780
264,127346,석조저택 살인사건,170509,한국,공포,0.8340000000000001,0.467,0.765,0.636,0.765,353517
270,140696,희생부활자,171012,한국,공포,0.6709999999999999,0.517,0.636,0.542,0.723,323628
289,143372,더 큐어,170215,미국,공포,0.742,0.62,0.759,0.731,0.723,159948
299,154214,시간위의 집,170405,한국,공포,0.848,0.47100000000000003,0.797,0.71,0.8170000000000001,128975
302,162824,저수지 게임,170907,한국,공포,0.983,0.667,0.96,0.845,0.99,125402
310,152268,직쏘,171102,미국,공포,0.0,0.4,0.763,0.706,0.815,111506
320,179973,사일런스,170228,미국,공포,0.745,0.4,0.569,0.51,0.556,94750
346,154262,위시 어폰,170720,미국,공포,0.772,0.35,0.75,0.7,0.742,55586
348,154267,매혹당한 사람들,170906,미국,공포,0.7879999999999999,0.7,0.7170000000000001,0.6459999999999999,0.607,54041
350,149757,윈드 리버,170914,미국,공포,0.8640000000000001,0.733,0.894,0.8540000000000001,0.867,50813
358,121051,곡성,160512,한국,공포,0.835,0.818,0.799,0.726,0.728,6879908
363,123519,아가씨,160601,한국,공포,0.78,0.768,0.747,0.64,0.7040000000000001,4287839
381,114282,컨저링 2,160609,미국,공포,0.846,0.657,0.8640000000000001,0.805,0.841,1928605
390,124025,시간이탈자,160413,한국,공포,0.799,0.493,0.745,0.61,0.7859999999999999,1202384
394,142625,미씽: 사라진 여자,161130,한국,공포,0.865,0.672,0.878,0.7340000000000001,0.914,1153109
396,144918,라이트 아웃,160824,미국,공포,0.782,0.736,0.0,0.695,0.741,1111284
398,140718,"날, 보러와요",160407,한국,공포,0.8140000000000001,0.55,0.7609999999999999,0.569,0.759,1063442
399,144944,맨 인 더 다크,161005,미국,공포,0.855,0.7040000000000001,0.8320000000000001,0.7490000000000001,0.8009999999999999,1003406
409,129461,인페르노,161019,미국,공포,0.8220000000000001,0.467,0.8170000000000001,0.7440000000000001,0.8340000000000001,689071
412,124031,널 기다리며,160310,한국,공포,0.784,0.506,0.795,0.743,0.795,635235
433,134856,클로버필드 10번지,160407,미국,공포,0.757,0.7170000000000001,0.792,0.778,0.706,357736
434,140647,위자: 저주의 시작,161109,미국,공포,0.784,0.45,0.7509999999999999,0.711,0.6859999999999999,331877
443,145335,혼숨,161026,한국,공포,0.634,0.433,0.775,0.7759999999999999,0.747,288016
445,125802,비밀은 없다,160623,한국,공포,0.7090000000000001,0.696,0.6940000000000001,0.61,0.722,250829
451,140693,아이 엠 어 히어로,160921,일본,공포,0.767,0.583,0.6679999999999999,0.639,0.627,212599
472,185860,플로렌스,160824,영국,공포,0.0,0.0,0.0,0.0,0.0,139717
487,144310,무서운 이야기 3 : 화성에서 온 소녀,160601,한국,공포,0.504,0.6,0.608,0.569,0.63,97804
526,181701,더 보이,160601,미국,공포,0.659,0.491,0.0,0.5,0.418,56959
534,111954,파라노말 액티비티: 더 고스트 디멘션,160421,미국,공포,0.657,0.3,0.58,0.522,0.525,54972
540,125436,포레스트: 죽음의 숲,160330,미국,공포,0.763,0.3,0.529,0.409,0.537,50631
