,text
10,솔직히 1편보다는 지루한감이있었고 성주신나올때 조금웃기고슬프고 반전은 신선했고 원일병 마지막에 쫌 웃겼고 영화가끝나면 반전 대박이다 하는영화 근데 마지막빼곤 지루하다
12,"공룡씬은 누가봐도 좀 많이 띠용스러웠다...너무 쥬라기월드(공원) 씬을 패러디?한게 티가 남ㅠㅠ그래도 전생기억하는 부분은 재밌었다. 전생 기억하는 부분만..아 김수홍 깐죽대는 거 진심 한 대 치고싶었음^^,,"
13,우리나라 흥행법칙=스크린독점
14,영화관 가면 진심 이것밖에 없어요 ㅜ 독과점 너무 심한 것 같아요 같은 배급산데 ;국내영화라고 개봉 이주도 안 된 미션 아이맥스 4D관 다 내려버리고 심지어 일반관까지 반토막내버리는 게 어디있나요 ㅠ 이렇게까지 하는...
15,이 영화를 끝까지 본 내가 귀인이다.
16,그냥...스토리 탄탄하게 짰다는 생각이 듦.재판과정도 1편에서 짧게보여줬던 지옥들로 구성했고.. 감독센스가 보였던화. 기대한만큼 재미있었지만 저승차사의 과거이야기 말고는 예상하는 결말 그대로 흘러감. 그게 가장 아쉬...
17,"너무 기대했나, 계속 시계봤다."
18,재밌으면 좋아요좀 눌러줘요 보러가겡
19,솔직히 지루한면이 있어요..
20,1편에서도 초반에 안본사람들이 욕하고 평점 바닥치다가 진짜 본사람들이 평점올려놨는데  이번에도그럴듯
21,영화 뒷 부분이 다 읽힘 내가 작가가 된 기분 시원한맛도 없음
22,왜 악플이 이리 많지 방금 남친이랑 보구 왓눈데 난 잼잇게 밧눈뎅 남친두 넘 잼잇엇다구 하둔뎅
23,좀 뜬금없는게 많음 근데 나름 재밌게 봤는데..3차사 과거에서 뒤통수 7번 맞은 느낌
24,미션은 개봉한지 일주일밖에 안ㅤㄷㅚㅆ는데 이거때매 상영관수만 확 줄어듬 ㅠ
25,여기도 알바들 오지게있ㅤㄴㅔㅋㅋㅋㅋ 1탄에선 그나마 신파억지감동이 있어서 눈물샘이라도 자극했다면 이번엔 그냥 지루하기만 한데..
26,독점좀 하지마라 꼴보기싫다
27,자 미션임파서블 폴아웃 상영관 다시 늘려주세요
28,"참 댓글 알바들 어이가 없네~  영화 러닝타임이 141분인데 댓글 단 시간이 9시 1분, 9시 5분, 11분이네? 영화들은 보시고 댓글 다셨세요~~~~? 댓글 알바 부장님이 그랬겠지~ ""자아 내일 아침 9시에..."
29,ㅡㅡ네이버 평점 믿지 말라고 다는 댓글ㅡㅡㅡ오늘 조조9시꺼로 보고왔는데 주관적인 생각이지만 정말 재밌었고 알찼고 마지막까지 반전 아닌 반전 있었어요 댓글 테러 오지게 하네 정말
30,하품하는 사람 70% 이상임
32,"뜬끔없다 싶은 장면이 있는건 사실이지만 최종적으로 전달해주는 메세지는 훌륭했습니다. 1편이 왜 신파극이 많았는지 조금은 납득이 갔구요. 어째 평점란이 힙스터와 광신도가 뒤엉킨 상황이지만, 그러려니 합니다. 이것도 인..."
33,알바천국이네 지루하던데
34,1000년전에 얽매인 지루하기 짝이 없는 스토리.한국판 어벤져스를 꿈꿨지만 봉숭아학당이 되어버린 영화.영화 속에서 다양한 지옥을 봤지만 그 중 제일 지옥은 신과함께를 보고있는 시간이였다. 3편은 안나왔으면..
35,평점조작 너무 심하네요
36,미션 2 번 보는 게 나을 듯..
37,전체적으로 지루한데다뭔가 반전이나 획기적인걸 해보려고이것저것 끼워 놓았는데조잡하기만 하고 하나도 안궁금하고하나도 안흥미롭습니다.. 가끔 마동석 개그가 피식 할 정도고지루하기 짝이 없음.. 상영 시간은 ㅤㅇㅙㄹ케 길게늘려놓...
38,내 살면서 영화보다가 나와서 담배펴보긴처음이네
39,차사들 과거를 140분동안 듣고 앉아있어야 함..  오랜만에 돈 결제해서 안졸려고 했는데.. 결국 영화 끝날 무렵 잠깐 기절함. 영화관 수로 수금하려는거 개떡같음.. 이 수준으로 쌍천만 기대하다니.. 양심이 있어야지...
40,알바 말고요...진심을 담아 평 남겨주세요.
41,이번주에 미션보려고 했는데... 상영관이 완전 반토막에 반토막...  진짜 한심하다...
42,스크린독점 너무한거아닌겨
43,개잤음 미션임파서블이 훨씬 재밌어요
46,"이딴거 때문에 미션임파서블 특수관 다 없어졌다는 게 말이 되냐? 어휴, 신파함께..."
47,이래서 인터넷을 믿으면 안되 현장에서는 개꿀잼이라고 극찬을하던데 여긴 깔려고 난리네ㅋㅋㅋ
48,버릴캐릭터 하나 없었음 그리고 김동욱 연기 물올랐음
49,1편이 확실히 임팩트 있었고 새로웠다! 그리고 이어서 그 때 궁금했던 이야기들을 2편에서 보여줘서 좋았다 OvO
50,펀드는 반드시 오른다..
51,"난 되게 재밌게 봤는데 내가 이상한 사람이었군,,, 중간중간 개그 포인트도 재밌었고 ㅋㅋㅠㅠ 좀 이해 안 가는 부분도 있고 공룡 나오는 부분은 ㅤㅇㅢㅇ스럽긴 했어두 나름 재밌게 봤당 근데 수홍이만 불쌍하다 뭔가 중간에 끼..."
52,이럴거면 두편으로 나누지그랬냐 전개가 너무 많이 바껴서 정신없었다
53,즙을 짜고 싶으면 차라리 양파를 깎을것
54,나 재밌었는데 여기서평점 1점주는애들 알바다 하는애들니들 인랑 평점알바들이냐? 인랑 망했다고 여기서 ㅈㄹ이여
55,명작을 망치는 것도 정도가 있지1편은 봐줄만 했는데2편은 그냥 산으로 가네
56,1편 본 사람은 꼭 2편 인과연까지 봐야함
57,평점 진심이냐? ㅋ 어처구니가 없다.
58,진짜 재밌는데 다 재미없나 보네
59,"영화에서 보여주고자하는 용서의중요성도 잘들어났구 1편보다 감동과 슬픔은 적었지만 개그요소가 많았고 무엇보다 스토리,세계관을 정말 잘짠것같음 후반으로 갈수록 더 흥미로움 영화내용은 말그대로 인과 연.인물과 인물의 관계..."
60,조조로 보고왔는데 뒷내용이 머리속에 그려지고 지루했다.
61,재밌는데 왜 평점이 낮은거지?
62,무료로 봐도 돈 아까울듯
63,원래는 3점 정도 인데 알바들 땜에...
64,노잼 망해라 1점도 아까운 신파
65,갠적으로 노잼이엇습니당
66,1편보단 나아보이는데 평점은 1편보다 왜이리 낮지?
67,재미없는데 독점까지 하니까...ㅎ
68,나만 재밌었나 이야기 풀어가면서 마지막에 퍼즐조각 맞혀지는게 소름이었고 맨 마지막 반전이 헐하게 만들었는데 저는 1보다 2가 훨씬 재밌었습니다.
69,"일관성 없는 등장인물들, 개연성 없는 어거지 스토리.. 1은 억지로라도 슬펐지 2는 기억나는게 모사 사우르스 뿐"
70,왜 제목이 인과연인지 알겠음 갠적으로 신과함께 죄와벌은 조금슬프면서도 인간의 악행과 그에따른 처벌을 다룬다면 신과함께 인과연은 인간의 얽히고 ㅤㅅㅓㄺ힌 관계를 다룬영화야 스토리가 탄탄하며 흥미진진하다
71,나 이거 처음써보는데 1보다 2가 훨씬 스토리도좋고 1이 차태현이 주인공이라면 2는 주지훈임 주지훈연기 잘하더라 영화가 끝날때까지 끝난게 아니니 가면안됨절때 이번년도 본 영화중 젤 좋았음
72,인랑까지 잘피해 왔는데 여기서 기록이 깨지네ㅜㅜ
73,"진짜 욕하면서 나옴. 뜬금없는 씬을 넣어놓지 않나 스토리는 개연성 1도 없고, 몰입도. 집중도. 하나도 안되는 감정선 넣어놓고 마지막은 훈훈~~ 미안하다 한마디에 허허허허 ㅇㅈㄹ... 풍자해논 요소는 1억인데 펀드로..."
74,재미없었다..ㅋㅋ10자
75,제발 독점이랑 평점알바 그만 좀 써먹으면 안되겠니? 이러니 한국영화가 맨날 그 모양이지 중간에 공룡은 도대체 뭐냐? 돈과 시간이 썩어나는 사람은 보러가라
76,볼사람은 봐라 그 대신 후회는 니들 몫
77,하....총체적난국
78,외전도 아니고;; 너무 재미없었음
79,그냥 이냥저냥 마지막이라고 다 인물관계 섞어논느낌
80,돈버렷다.. 살다살다 이렇게 재미없는 영화는 처음이다
81,헐 평점 개실화임??? ㅋㅋㅋㅋ 어쨋튼 미션 임파서블이랑 인크레더블2 상영관 다시 늘려주세요!!!! 이건 알바가 아니라  진심으로 충고 해주는 말입니다
82,1편도 1400만 찍은게 신기했다
83,두번 졸고 나서 깨닳음. 3편은 보질 말아야지
