,영화코드,영화명,개봉일,대표국적,장르,관람객평점,평론가평점,네티즌평점,남자평점,여자평점,관객수
0,167697,신과함께-인과 연,180801,한국,모험,0.875,0.631,0.809,0.617,0.8390000000000001,12274996
4,85579,신과함께-죄와 벌,171220,한국,모험,0.885,0.5920000000000001,0.8220000000000001,0.64,0.8,5872007
17,151728,코코,180111,미국,모험,0.9329999999999999,0.8,0.972,0.919,0.963,3510017
22,136990,인크레더블 2,180718,미국,모험,0.945,0.733,0.9690000000000001,0.8690000000000001,0.9570000000000001,3033052
28,165748,조선명탐정: 흡혈괴마의 비밀,180208,한국,모험,0.763,0.517,0.696,0.604,0.696,2444136
29,154255,신비한 동물들과 그린델왈드의 범죄,181114,미국,모험,0.757,0.5329999999999999,0.6459999999999999,0.51,0.643,2414062
52,169643,몬스터 호텔 3,180808,미국,모험,0.8809999999999999,0.5,0.9009999999999999,0.752,0.8220000000000001,1072220
58,175727,극장판 헬로카봇 : 백악기 시대,180801,한국,모험,0.9440000000000001,0.6,0.9690000000000001,0.812,0.9490000000000001,879449
63,174805,신비아파트: 금빛 도깨비와 비밀의 동굴,180725,한국,모험,0.894,0.6,0.915,0.713,0.9109999999999999,678091
65,171725,스파이더맨: 뉴 유니버스,181212,미국,모험,0.95,0.825,0.965,0.905,0.9440000000000001,639934
70,160491,페르디난드,180103,미국,모험,0.91,0.633,0.932,0.794,0.93,533776
75,158622,호두까기 인형과 4개의 왕국,181206,미국,모험,0.83,0.5,0.748,0.73,0.691,513767
77,168023,곰돌이 푸 다시 만나 행복해,181003,미국,모험,0.907,0.633,0.9390000000000001,0.8859999999999999,0.9229999999999999,492201
79,150688,그린치,181219,미국,모험,0.862,0.5,0.8740000000000001,0.662,0.784,485064
85,173019,명탐정 코난 : 제로의 집행인,180808,일본,모험,0.938,0.6,0.951,0.792,0.9490000000000001,396230
86,154226,피터 래빗,180516,미국,모험,0.9309999999999999,0.55,0.9229999999999999,0.6890000000000001,0.895,388300
87,180379,점박이 한반도의 공룡2 : 새로운 낙원,181225,한국,모험,0.929,0.7,0.958,0.866,0.95,375312
95,144266,후드,181128,미국,모험,0.8190000000000001,0.475,0.688,0.5579999999999999,0.731,284601
96,172975,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,181219,일본,모험,0.902,0.8220000000000001,0.0,0.6890000000000001,0.818,277206
97,30688,해리포터와 마법사의 돌,11213,미국,모험,0.0,0.9229999999999999,0.0,0.872,0.9790000000000001,267950
101,66725,명탐정 코난:감벽의 관,180214,일본,모험,0.871,0.5,0.88,0.731,0.909,242603
109,164155,벽 속에 숨은 마법시계,181031,미국,모험,0.7959999999999999,0.467,0.631,0.503,0.524,215029
113,159862,나미야 잡화점의 기적,180228,일본,모험,0.777,0.575,0.768,0.727,0.728,191988
115,180384,런닝맨 : 풀룰루의 역습,181205,한국,모험,0.784,0.6,0.81,0.71,0.83,186912
116,68291,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,180606,일본,모험,0.8290000000000001,0.6,0.8420000000000001,0.738,0.768,183421
117,172118,극장판 도라에몽: 진구의 보물섬,180815,일본,모험,0.9079999999999999,0.6,0.9209999999999999,0.8029999999999999,0.873,183220
122,172187,극장판 포켓몬스터 모두의 이야기,181219,일본,모험,0.929,0.7,0.94,0.8059999999999999,0.93,169677
123,170496,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,180920,일본,모험,0.905,0.884,0.0,0.8490000000000001,0.8909999999999999,157689
128,175365,빅샤크: 매직체인지,180627,중국,모험,0.773,0.4,0.732,0.542,0.647,138740
130,154251,얼리맨,180503,영국,모험,0.851,0.6,0.851,0.747,0.8420000000000001,122359
138,171440,미니특공대X,180322,한국,모험,0.802,0.76,0.0,0.6509999999999999,0.6409999999999999,100164
141,172009,마야2,180201,독일,모험,0.927,0.6,0.982,0.9179999999999999,0.9790000000000001,97165
142,173466,커다랗고 커다랗고 커다란 배,180503,덴마크,모험,0.902,0.65,0.9440000000000001,0.779,0.97,95459
144,165722,극장판 포켓몬스터 너로 정했다!,171221,일본,모험,0.904,0.6,0.929,0.85,0.917,94300
145,144906,베일리 어게인,181122,미국,모험,0.953,0.54,1.0,0.922,0.993,93691
146,178214,루이스,180920,독일,모험,0.883,0.6,0.934,0.898,0.956,93000
147,158620,셜록 놈즈,181003,미국,모험,0.8440000000000001,0.45,0.893,0.746,0.925,91036
154,173004,레오나르도 다 빈치,180426,이탈리아,모험,0.838,0.7979999999999999,0.0,0.526,0.8809999999999999,64655
160,169642,엘리엇과 산타 썰매단,181212,캐나다,모험,0.701,0.55,0.6829999999999999,0.506,0.616,57579
161,171401,매직빈,180503,중국,모험,0.7509999999999999,0.5,0.705,0.597,0.6779999999999999,57004
163,163844,몬스터 패밀리,171221,독일,모험,0.8420000000000001,0.6,0.872,0.85,0.8320000000000001,56019
165,169349,뽀로로 극장판 공룡섬 대모험,171207,한국,모험,0.934,0.9179999999999999,0.0,0.848,0.932,53592
