,영화코드,영화명,개봉일,대표국적,장르,관람객평점,평론가평점,네티즌평점,남자평점,여자평점,관객수
24,140652,너의 결혼식,180822,한국,멜로/로맨스,0.9129999999999999,0.657,0.8809999999999999,0.8059999999999999,0.833,2820969
26,168298,지금 만나러 갑니다,180314,한국,멜로/로맨스,0.9109999999999999,0.55,0.915,0.835,0.9159999999999999,2602273
90,143416,미드나잇 선,180621,미국,멜로/로맨스,0.892,0.525,0.9229999999999999,0.843,0.9159999999999999,326086
104,153620,치즈인더트랩,180314,한국,멜로/로맨스,0.765,0.4,0.535,0.413,0.55,229005
124,168047,크레이지 리치 아시안,181025,미국,멜로/로맨스,0.81,0.65,0.737,0.626,0.703,154297
132,171822,"안녕, 나의 소녀",180516,대만,멜로/로맨스,0.723,0.5,0.6779999999999999,0.62,0.616,111751
157,18847,타이타닉,980220,미국,멜로/로맨스,1.0,0.9329999999999999,0.98,0.895,0.988,59455
278,176748,딥,171003,스페인,멜로/로맨스,0.0,0.3,0.609,0.754,0.354,230068
286,157178,"나는 내일, 어제의 너와 만난다",171012,일본,멜로/로맨스,0.856,0.6,0.9279999999999999,0.9209999999999999,0.8340000000000001,175518
404,136893,좋아해줘,160217,한국,멜로/로맨스,0.872,0.64,0.8640000000000001,0.789,0.843,848148
411,62285,그날의 분위기,160114,한국,멜로/로맨스,0.7979999999999999,0.531,0.682,0.54,0.665,653287
430,142691,나의 소녀시대,160512,대만,멜로/로맨스,0.963,0.68,0.925,0.831,0.9259999999999999,409537
452,122133,남과 여,160225,한국,멜로/로맨스,0.7659999999999999,0.6,0.833,0.69,0.867,203775
501,142689,최악의 하루,160825,한국,멜로/로맨스,0.8590000000000001,0.69,0.821,0.691,0.802,80754
503,128273,엽기적인 그녀 2,160512,한국,멜로/로맨스,0.563,0.35,0.295,0.258,0.302,77124
507,130117,선생님의 일기,161102,태국,멜로/로맨스,0.9129999999999999,0.62,0.9309999999999999,0.887,0.927,71297
